N_unmapped	581972	581972	581972
N_multimapping	784661	784661	784661
N_noFeature	470412	19855308	534739
N_ambiguous	986196	11434	462784
FBgn0031208	0	0	0
FBgn0002121	2374	0	2374
FBgn0031209	0	0	0
FBgn0263584	0	0	0
FBgn0051973	183	0	183
FBgn0267987	13	0	13
FBgn0266878	0	0	0
FBgn0266879	0	0	0
FBgn0067779	1742	0	1789
FBgn0266322	0	473	0
FBgn0031213	2051	0	2477
FBgn0031214	0	0	0
FBgn0002931	280	0	280
FBgn0031216	1520	0	1520
FBgn0031217	672	0	715
FBgn0026787	866	102	807
FBgn0005278	14276	0	14276
FBgn0031228	2287	0	2287
FBgn0031219	0	0	0
FBgn0031220	449	37	413
FBgn0025683	2104	0	4748
FBgn0266304	0	2644	0
FBgn0001142	403	0	403
FBgn0265074	0	0	0
FBgn0265075	0	0	0
FBgn0051975	0	0	0
FBgn0051976	0	0	0
FBgn0051974	495	0	495
FBgn0031224	376	0	376
FBgn0259818	424	0	424
FBgn0031227	452	0	452
FBgn0031229	1159	0	1159
FBgn0053635	352	0	352
FBgn0016977	2501	27	2474
FBgn0031231	438	0	468
FBgn0031232	204	30	204
FBgn0031233	1016	0	1016
FBgn0266557	2517	1	2550
FBgn0265151	0	0	0
FBgn0265153	17	0	17
FBgn0265152	0	32	0
FBgn0263465	0	0	0
FBgn0031235	0	1	0
FBgn0262252	0	0	0
FBgn0265149	36	0	36
FBgn0283652	694	144	550
FBgn0031238	786	0	786
FBgn0031239	80	1	80
FBgn0265150	0	0	0
FBgn0031240	0	0	0
FBgn0086912	1156	0	1156
FBgn0086856	468	43	475
FBgn0086855	2112	87	2193
FBgn0003444	484	277	829
FBgn0031244	427	266	665
FBgn0031245	658	0	1265
FBgn0267995	0	607	0
FBgn0267996	23	0	23
FBgn0025686	0	0	0
FBgn0031247	208	32	330
FBgn0017457	1679	122	1711
FBgn0024352	26317	0	26319
FBgn0020622	1651	0	1651
FBgn0004611	2511	34	2634
FBgn0263872	0	0	0
FBgn0031248	0	0	0
FBgn0031249	0	0	0
FBgn0053127	0	0	0
FBgn0264086	0	123	0
FBgn0051921	0	0	0
FBgn0031250	48	0	1310
FBgn0266907	0	949	0
FBgn0266906	0	279	0
FBgn0000061	0	0	0
FBgn0263871	0	0	0
FBgn0031251	363	0	363
FBgn0003278	1215	0	1215
FBgn0264855	2604	0	2604
FBgn0263933	2060	48	2155
FBgn0031252	141	95	189
FBgn0002593	36949	0	36950
FBgn0031253	368	0	368
FBgn0031254	0	0	0
FBgn0031255	1	0	1
FBgn0004583	1414	303	1494
FBgn0263870	0	0	0
FBgn0015924	3614	80	3917
FBgn0031256	822	0	822
FBgn0262510	0	0	0
FBgn0031257	30	0	30
FBgn0031258	121	1	121
FBgn0027592	721	0	721
FBgn0003963	1426	69	1357
FBgn0043364	2049	0	2049
FBgn0267991	0	0	0
FBgn0267992	0	0	0
FBgn0010602	5377	0	5377
FBgn0031260	2589	0	2589
FBgn0005660	381	698	381
FBgn0031261	0	0	698
FBgn0260933	165	7138	165
FBgn0031263	2396	0	9533
FBgn0031264	432	30	402
FBgn0031265	880	89	958
FBgn0021874	531	78	620
FBgn0031266	2204	0	2204
FBgn0031267	1042	0	1042
FBgn0031268	2044	0	2290
FBgn0013323	0	246	0
FBgn0023489	0	0	0
FBgn0010323	29	0	29
FBgn0267827	0	0	0
FBgn0031270	178	0	178
FBgn0263657	0	0	0
FBgn0263658	0	0	0
FBgn0040106	0	0	0
FBgn0266032	0	0	0
FBgn0266033	0	0	0
FBgn0040107	0	0	0
FBgn0031273	89	54	35
FBgn0266909	0	0	0
FBgn0284247	142	0	142
FBgn0266323	0	0	0
FBgn0267993	0	1	0
FBgn0011244	0	0	0
FBgn0026438	0	0	0
FBgn0031275	55	0	55
FBgn0265825	0	0	0
FBgn0031276	0	0	0
FBgn0040725	0	0	0
FBgn0031277	19	0	19
FBgn0041250	37	0	37
FBgn0031279	0	81	0
FBgn0000442	0	0	81
FBgn0266797	0	0	0
FBgn0051658	101	0	101
FBgn0086130	241	0	241
FBgn0031281	402	0	402
FBgn0031282	240	0	253
FBgn0031283	0	13	0
FBgn0031284	412	0	412
FBgn0015621	770	0	770
FBgn0031285	7050	0	7273
FBgn0031286	375	222	375
FBgn0010583	1686	0	1686
FBgn0020304	11600	0	12278
FBgn0264869	0	678	0
FBgn0031287	867	39	828
FBgn0020545	1033	0	1033
FBgn0031288	83	0	83
FBgn0266884	0	0	0
FBgn0262177	0	0	0
FBgn0031289	0	0	0
FBgn0029095	1456	0	1456
FBgn0086031	0	0	0
FBgn0020305	685	0	685
FBgn0053526	2094	0	2094
FBgn0031292	0	0	0
FBgn0002936	0	0	0
FBgn0266887	0	0	0
FBgn0002563	0	0	0
FBgn0003916	0	0	0
FBgn0266799	0	0	0
FBgn0264870	0	0	0
FBgn0046113	589	0	589
FBgn0028481	36	0	36
FBgn0266036	0	0	0
FBgn0031294	104	0	104
FBgn0031295	0	0	0
FBgn0031296	293	0	293
FBgn0003310	1154	0	1154
FBgn0015905	1001	0	1001
FBgn0031298	610	96	850
FBgn0031299	0	240	96
FBgn0261938	956	0	956
FBgn0031301	0	0	0
FBgn0031302	0	0	0
FBgn0016926	9808	0	9808
FBgn0031304	1180	32	1239
FBgn0031305	476	59	508
FBgn0031306	234	0	234
FBgn0267281	0	0	0
FBgn0031307	193	0	193
FBgn0283525	647	43	683
FBgn0031309	452	65	466
FBgn0031310	1419	477	1419
FBgn0261458	7322	0	7799
FBgn0264267	78	305	168
FBgn0031312	338	90	643
FBgn0031313	2012	0	2012
FBgn0031314	496	0	496
FBgn0031315	876	52	909
FBgn0024314	1473	114	1444
FBgn0051922	35	8	70
FBgn0031317	1320	221	1142
FBgn0031318	1175	0	1175
FBgn0031319	943	59	978
FBgn0031320	513	35	572
FBgn0031321	439	0	439
FBgn0031322	759	0	759
FBgn0031323	0	0	0
FBgn0263080	0	0	0
FBgn0263081	0	0	0
FBgn0040723	0	0	0
FBgn0031324	0	0	0
FBgn0266885	0	0	0
FBgn0262944	0	0	0
FBgn0259229	0	0	0
FBgn0031327	1418	0	1418
FBgn0041097	0	0	0
FBgn0011294	0	0	0
FBgn0031331	0	0	0
FBgn0053923	0	0	0
FBgn0053922	0	0	0
FBgn0026141	0	0	0
FBgn0266357	0	0	0
FBgn0266358	0	0	0
FBgn0031332	0	0	0
FBgn0031333	0	0	0
FBgn0051924	0	0	0
FBgn0031335	0	0	0
FBgn0051659	0	0	0
FBgn0053126	748	0	748
FBgn0031337	277	0	277
FBgn0266203	0	0	0
FBgn0002543	54	0	116
FBgn0266202	0	62	0
FBgn0263320	0	0	0
FBgn0003926	0	0	0
FBgn0263321	7	0	7
FBgn0051928	41	0	41
FBgn0053128	0	0	0
FBgn0051926	48	48	0
FBgn0051661	68	166	2
FBgn0031343	570	0	670
FBgn0031344	205	0	552
FBgn0264873	0	347	0
FBgn0031345	0	0	0
FBgn0001174	0	0	0
FBgn0026398	0	0	0
FBgn0026397	0	0	0
FBgn0261509	0	0	0
FBgn0031347	0	0	0
FBgn0051935	497	0	497
FBgn0031351	229	64	213
FBgn0021906	4358	0	4406
FBgn0265814	0	0	0
FBgn0267259	0	0	0
FBgn0086758	140	0	140
FBgn0011570	3121	0	3121
FBgn0031356	1362	0	1593
FBgn0266311	0	231	0
FBgn0031357	614	92	593
FBgn0086698	629	53	647
FBgn0031359	1219	0	1219
FBgn0000579	9914	108	9915
FBgn0260648	106	0	214
FBgn0031360	580	0	601
FBgn0031361	619	21	619
FBgn0264494	810	65	745
FBgn0027597	554	0	554
FBgn0031364	0	0	0
FBgn0041249	0	0	0
FBgn0031365	39	0	39
FBgn0045497	0	0	0
FBgn0045498	0	0	0
FBgn0265138	0	0	0
FBgn0045500	0	0	0
FBgn0045501	0	0	0
FBgn0051933	0	0	0
FBgn0051664	0	0	0
FBgn0031367	0	0	0
FBgn0262275	0	0	0
FBgn0051665	0	0	0
FBgn0264882	0	0	0
FBgn0264883	0	0	0
FBgn0051663	0	0	0
FBgn0031372	0	0	0
FBgn0264884	0	0	0
FBgn0031373	0	0	0
FBgn0031374	1747	0	1747
FBgn0011859	0	0	0
FBgn0040719	0	0	0
FBgn0053673	0	0	0
FBgn0031375	0	0	0
FBgn0051942	0	0	0
FBgn0267972	1450	0	1450
FBgn0031377	1096	1	1096
FBgn0031378	308	0	308
FBgn0031379	2214	34	2232
FBgn0001125	2457	18	2490
FBgn0031381	1254	0	1254
FBgn0262148	0	0	0
FBgn0043539	0	0	0
FBgn0053543	27	0	27
FBgn0263441	0	0	0
FBgn0040718	94	0	368
FBgn0267276	0	274	0
FBgn0040717	85	0	85
FBgn0051943	0	0	0
FBgn0051944	0	0	0
FBgn0031384	475	0	475
FBgn0051939	0	0	0
FBgn0051940	0	0	0
FBgn0051669	0	0	0
FBgn0011860	0	0	0
FBgn0259192	47	0	47
FBgn0259230	0	0	0
